,,,,,,"F/NFIs PROVIDED",,,,,,,
PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"NO. OF FAMILIES AFFECTED [number]",NEEDS,"NO. OF FAMILIES REQUIRING ASSISTANCE [number]","QTY [number]",UNIT,"COST PER UNIT [number]","AMOUNT [number]",SOURCE,"NO. OF FAMILIES ASSISTED [number]","% OF FAMILIES ASSISTED [number]",REMARKS
"ILOCOS NORTE",none,PLGU,0,"Family Food Packs",0,1000,pack,513,513000,DSWD,0,nan,
"ILOCOS NORTE",Adams,none,600,"Family Food Packs",600,600,Pack,600,307800,DSWD,600,100.00,
"ILOCOS NORTE",Adams,none,0,"Laminated Sacks",0,1,pc,3650,3650,DSWD,0,nan,
"ILOCOS NORTE",Laoag,none,191,Various,191,0,various,4560,107400,LGU,179,93.72,
"ILOCOS SUR",none,PLGU,0,"Family Food Packs",0,82,pack,513,42066,DSWD,0,nan,
"ILOCOS SUR",none,PLGU,0,"Hygiene Kit",0,1693,Pack,1693,2180584,DSWD,0,nan,
"ILOCOS SUR",none,"1st District",0,"Family Food Packs",0,6354,pack,513,3259602,DSWD,0,nan,
"ILOCOS SUR",none,"2nd District",0,"Family Food Packs",0,3500,pack,513,1795500,DSWD,0,nan,
"ILOCOS SUR",Alilem,none,298,"Family Food Packs",298,79,Pack,513,40527,DSWD,79,26.51,
"ILOCOS SUR",Banayoyo,none,141,"Family Food Packs",141,128,pack,513,65664,DSWD,128,90.78,
"ILOCOS SUR",Bantay,none,7,"Family Food Packs",7,30,pack,513,15390,DSWD,7,100.00,
"ILOCOS SUR",Burgos,none,149,"Family Food Packs",149,186,pack,513,95418,DSWD,149,100.00,
"ILOCOS SUR",Cabugao,none,127,"Family Food Packs",127,27,pack,513,13851,DSWD,27,21.26,
"ILOCOS SUR",Candon,none,813,"Family Food Packs",813,450,pack,513,230850,DSWD,450,55.35,
"ILOCOS SUR",Caoayan,none,209,"Family Food Packs",209,195,pack,513,100035,DSWD,195,93.30,
"ILOCOS SUR",Galimuyod,none,281,"Family Food Packs",281,327,pack,513,167751,DSWD,281,100.00,
"ILOCOS SUR",Lidlidda,none,61,"Family Food Packs",61,95,pack,513,48735,DSWD,61,100.00,
"ILOCOS SUR",Magsingal,none,72,"Family Food Packs",72,59,pack,513,30267,DSWD,59,81.94,
"ILOCOS SUR",Nagbukel,none,25,"Family Food Packs",25,81,pack,513,41553,DSWD,25,100.00,
"ILOCOS SUR",Narvacan,none,1060,"Family Food Packs",1060,1504,pack,513,771552,DSWD,1060,100.00,
"ILOCOS SUR",Salcedo (Baugen),none,151,"Family Food Packs",151,197,pack,513,101061,DSWD,151,100.00,
"ILOCOS SUR","San Emilio",none,90,"Family Food Packs",90,91,Pack,513,46683,DSWD,90,100.00,
"ILOCOS SUR","San Esteban",none,199,"Family Food Packs",199,292,Pack,513,149796,DSWD,199,100.00,
"ILOCOS SUR","San Ildefonso",none,11,"Family Food Packs",11,10,pack,513,5130,DSWD,10,90.91,
"ILOCOS SUR","San Juan (Lapog)",none,32,"Family Food Packs",32,16,pack,513,8208,DSWD,16,50.00,
"ILOCOS SUR","San Vicente",none,32,"Family Food Packs",32,13,pack,513,6669,DSWD,13,40.63,
"ILOCOS SUR",Santa,none,371,"Family Food Packs",371,1055,pack,1026,541215,DSWD,371,100.00,
"ILOCOS SUR","Santa Catalina",none,112,"Family Food Packs",112,99,pack,513,50787,DSWD,99,88.39,
"ILOCOS SUR","Santa Cruz",none,1886,"Family Food Packs",1886,2581,pack,513,1324053,DSWD,1886,100.00,
"ILOCOS SUR","Santa Lucia",none,1297,"Family Food Packs",1297,1543,pack,513,791559,DSWD,1297,100.00,
"ILOCOS SUR","Santa Maria",none,735,"Family Food Packs",735,913,pack,513,468369,DSWD,735,100.00,
"ILOCOS SUR",Santiago,none,807,"Family Food Packs",807,620,pack,513,318060,DSWD,620,76.83,
"ILOCOS SUR","Santo Domingo",none,150,"Family Food Packs",150,33,pack,513,16929,DSWD,33,22.00,
"ILOCOS SUR",Sigay,none,633,Various,633,0,various,0,30300,LGU,633,100.00,
"ILOCOS SUR",Sinait,none,18,"Family Food Packs",18,18,pack,513,9234,DSWD,18,100.00,
"ILOCOS SUR",Sugpon,none,96,"Family Food Packs",96,183,pack,513,93879,DSWD,96,100.00,
"ILOCOS SUR",Suyo,none,216,"Family Food Packs",216,389,pack,513,199557,DSWD,216,100.00,
"ILOCOS SUR",Suyo,none,0,Various,0,0,Various,0,70911.7,LGU,0,nan,
"ILOCOS SUR",Tagudin,none,2156,"Family Food Packs",2156,2155,pack,513,1105515,DSWD,2155,99.95,
"ILOCOS SUR",Tagudin,none,0,Various,0,0,Various,0,120000,LGU,0,nan,
"ILOCOS SUR",Vigan,none,609,"Family Food Packs",609,391,pack,513,200583,DSWD,0.91,0.15,
"ILOCOS SUR",Vigan,none,0,Various,0,0,Various,0,87015.88,LGU,0,nan,
"LA UNION",Agoo,none,3555,Various,3555,3555,Various,0,760650,LGU,3555,100.00,
"LA UNION",Agoo,none,0,Various,0,0,Various,0,760650,NGO,0,nan,
"LA UNION",Bacnotan,none,575,"Family Food Pack",575,590,Various,513,302670,DSWD,575,100.00,
"LA UNION",Bagulin,none,183,Various,183,0,Various,9500,9500,LGU,183,100.00,
"LA UNION",Balaoan,none,3146,Various,3146,0,Various,0,226500,LGU,3146,100.00,
