PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,TYPE,CLASSIFICATION,INFRASTRUCTURE,"NUMBER OF DAMAGED",UNIT,"QUANTITY [number]",STATUS,"COST(PHP) [number]",REMARKS
"ILOCOS NORTE",Bangui,none,"Flood control",Local,"Slope protection along Buagao River (Aabaca Section) - Damaged Gabion",1,Meter,1,,3500000,
"ILOCOS NORTE",Bangui,Dadaor,"Government Facilities",Local,"Damaged Covered Court",1,"Select an option",1,,47250,
"ILOCOS NORTE",Bangui,none,"Government Facilities",Local,"ECCD Gutter",1,"Select an option",1,,6400,
"ILOCOS NORTE",Paoay,Nalasin,"Flood control",National,"Garasgas River Dike, Both Side, Brgy. Nalasin Proper, Paoay, Ilocos Norte",1,"Select an option",1,,30158173.27,"Breached/ Scoured and Eroded Dike"
"ILOCOS NORTE",Paoay,Nalasin,"Flood control",National,"Garasgas River Dike, Both Side, Brgy. Nalasin (Sitio) Malate, Paoay, Ilocos Norte",1,"Select an option",1,,18094903.96,"Breached/ Scoured and Eroded Dike"
"ILOCOS NORTE",Paoay,Nalasin,"Flood control",National,"Quioait River, Both Side, Brgy. Nalasin Proper, Paoay, Ilocos Norte",1,"Select an option",1,,43083104.67,"Breached/ Scoured and Eroded Slope Protection"
"ILOCOS NORTE",Paoay,"Brgy. San Agustin, Paoay, Ilocos Norte","Flood control",National,"Breached/ Scoured and Eroded Slope Protection",1,"Select an option",1,,6893296.74,"Breached/ Scoured and Eroded Slope Protection"
"ILOCOS NORTE",Solsona,Puttao,"Flood control",National,"Solsona River Dike, Left Side, Brgy. Puttao, Solsona, Ilocos Norte",1,"Select an option",1,,29296511.18,"Breached/ Scoured and Eroded Slope Protection"
"ILOCOS NORTE","Nueva Era","Nueva Era, Ilocos Norte","Flood control",National,"Collapsed stone masonry revetment",1,"Select an option",1,,0,"Collapsed stone masonry revetment"
"ILOCOS NORTE",Dingras,"Brgy. San Marcelino, Dingras, Ilocos Norte","Flood control",National,"Breached/ Scoured and Eroded Slope Protection",1,"Select an option",1,,6031634.66,"Breached/ Scoured and Eroded Slope Protection"
"ILOCOS SUR",Sugpon,Pangotan,Schools,Local,"Damaged School",1,Meter,1,,5000,"Damaged wall<br>For validation by PEO"
"ILOCOS SUR",Sugpon,"Banga- Sugpon, Ilocos Sur","Health facilities",National,"Banga- Sugpon, Ilocos Sur",1,"Select an option",1,,200000,"Partially damage<br>ceiling"
"ILOCOS SUR",Sugpon,Balbalayang,"Health facilities",Local,"Sugpon Primary  Care Facility",1,"Select an option",1,,,"Damaged ceiling"
"ILOCOS SUR",Sugpon,Caoayan,"Health facilities",Local,"School Facility",1,"Select an option",,,,"Damaged ceiling"
"ILOCOS SUR",Sugpon,"Caoayan ","Government Facilities",Local,"Radio Communication Facility",1,"Select an option",,,,Damaged<br>post<br>Damaged<br>post
"ILOCOS SUR",Sugpon,Pangotan,"Government Facilities",Local,"Elementary School ",1,"Select an option",,,,"Damaged wall"
"ILOCOS SUR",Narvacan,"Sitio Limmansan gan, Margaay, Narvacan, Ilocos Sur","Health facilities",National,"Narvacan Polyclinic- PCF",1,"Select an option",1,,500000,"Blown windows &<br>detached edge<br>flashings"
"ILOCOS SUR",Narvacan,"Zone 3, Paratong, Narvacan, Ilocos Sur","Health facilities",National,"ISDH- Narvacan",1,"Select an option",1,,11000000,"Detached rain<br>gutter and<br>damaged<br>ceilings, roofing,<br>electrical works<br>(Affected areas:<br>Main building,<br>Dietary, Birthing, TB Dots)"
