PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,TYPE,"SERVICE PROVIDER","DATE OF INTERRUPTION/ OUTAGE [m/d/Y]","TIME OF INTERRUPTION/ OUTAGE [24:00]","DATE RESTORED [m/d/Y]","TIME RESTORED [24:00]",REMARKS
"ILOCOS NORTE",Adams,"Municipal Wide",Interruption,INEC,2025-11-09,15:23,,,"Partial Power Interruption"
"ILOCOS NORTE",Bacarra,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Badoc,none,Interruption,INEC,2025-11-09,,,,Intermittent
"ILOCOS NORTE",Bangui,none,Interruption,INEC,2025-11-09,16:04,2025-11-10,17:34,"Partial Power Interruption"
"ILOCOS NORTE",Banna,none,Interruption,INEC,2025-11-09,,,,
"ILOCOS NORTE","Batac City",none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Burgos,none,Interruption,INEC,2025-11-10,22:00,,,"50% operational"
"ILOCOS NORTE",Burgos,none,Interruption,INEC,2025-11-09,22:00,,,"33% operational"
"ILOCOS NORTE",Carasi,none,Interruption,INEC,2025-11-09,,,,"100% no power"
"ILOCOS NORTE",Currimao,none,Interruption,INEC,2025-11-09,23:00,,,"55% operational"
"ILOCOS NORTE",Dingras,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Dumalneg,"4 Brgys",Interruption,INEC,2025-11-09,,,,
"ILOCOS NORTE",Laoag,"26 Barangays",Interruption,,2025-11-09,16:04,2025-11-10,17:34,"Partial Power Interruption"
"ILOCOS NORTE",Marcos,none,Interruption,INEC,2025-11-09,,,,
"ILOCOS NORTE","Nueva Era",none,Interruption,INEC,2025-11-09,15:24,2025-11-10,17:00,"Partial Power Interruption"
"ILOCOS NORTE",Pagudpud,"9 BRGYS",Interruption,INEC,2025-11-09,18:44,,,"Partial Power Interruption"
"ILOCOS NORTE",Paoay,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Pasuquin,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Piddig,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Pinili,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE","San Nicolas",none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Sarrat,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Solsona,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Vintar,"Municipal Wide",Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Alilem,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Banayoyo,none,Interruption,ISECO,2025-11-09,23:20,,,"Partial Power Interruption"
"ILOCOS SUR",Bantay,none,Interruption,ISECO,2025-11-09,21:00,,,"Partial Power Interruption"
"ILOCOS SUR",Burgos,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Cabugao,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR","Candon City",none,Interruption,ISECO,2025-11-09,23:00,,,"Partial Power Interruption"
"ILOCOS SUR",Caoayan,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Cervantes,none,Interruption,BENECO,2025-11-09,21:45,,,"Partial Power Interruption"
"ILOCOS SUR",Cervantes,none,Interruption,MOPRECO,2025-11-09,20:00,,,
"ILOCOS SUR",Galimuyod,none,Interruption,ISECO,2025-11-09,23:20,2025-11-10,18:00,"Partial Power Interruption<br>(8 Barangays has been partially  restored, while 16 barangays are not yet restored)"
"ILOCOS SUR","Gregorio Del Pilar",none,Interruption,ISECO,2025-11-09,20:49,2025-11-11,18:49,
"ILOCOS SUR",Lidlidda,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Magsingal,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
