PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"FAMILIES [number]","MALE [number]","FEMALE [number]","TOTAL (Note: If the available data is ""Total Persons"", please input/encode in this column) [number]",REMARKS
"ILOCOS NORTE",Bacarra,"Brgy. Casilian, Brgy. Cabaruan, Brgy. Natba",109,0,0,263,"Busan evacuation center"
"ILOCOS NORTE",Badoc,"Barangay Lucuben, Mabusag Sur",133,0,0,494,"Annex Building, Municipal Hall, Mabusag sur covered hall, Municipal Function Hall"
"ILOCOS NORTE",Bangui,"Barangay Payac, Barangay Lanao, Barangay Abaca, Brgy. San Lorenzo",61,0,0,148,"Brgy Payac, Lanao and Municipal Evacuation Center"
"ILOCOS NORTE",Banna,"Brgy Catagtaguen, Brgy Hilario, Brgy Tabtabagan",61,0,0,155,"Regional Evacuation Center"
"ILOCOS NORTE","Batac City","Colo, Billoca, Ricarte, Cangrunaan, Valdez, Parangopong, Billoca, Lacub",27,0,0,89,"Community Center, City Evacuation Center, Cangrunaan Child Development Center, Parongopong Elem. School, Batac Public Market"
"ILOCOS NORTE",Carasi,Angset,3,0,0,8,"Municipal Evacuation Center"
"ILOCOS NORTE",Currimao,"Brgy. Gaang, Victoria, San Simeon, Tapao Tigue, Barangay Pias Sur",80,0,0,227,"Currimao National High School, Wilbur C. Go National Highschool, Barangay Pias Sur Multi Purpose Hall"
"ILOCOS NORTE",Dumalneg,"Brgy. Cabaritan, Brgy. Quibel, Brgy. San Isidro, Brgy. Kalaw",18,0,0,55,"Municipal Evacuation center, Brgy Kalaw Dumalneg"
"ILOCOS NORTE","Laoag City","35, 60 A, 1, 29, 43, 44, 1, 34 A, 34 B, 35, and 43<br>",88,0,0,239,"Laoag City Auditorium"
"ILOCOS NORTE",Pagudpud,"Brgy. Caparispisan, Pancian, Saud, Pasaleng, Burayoc, Balaoi, Poblacion 1, Poblacion 2",357,0,0,1098,"Caparispisan Evacuation Center,Pancian Elementary School, Saud Elementary School, Pasaleng Elementary School, Burayoc evc center, Balaoi Integrated School, Llantero resort, TGCM chapel, National Child De?vt. Center<br>"
"ILOCOS NORTE",Paoay,"Brgy. Callaguip",23,0,0,65,"Mormon Church in Brgy Callaguip"
"ILOCOS NORTE",Pasuquin,"Barangay Surong, Pragata, Susugaen",15,0,0,29,"Barangay Hall Evacuation Centers and outside EC"
"ILOCOS NORTE",Piddig,"Brgy. 13 Libnaoan, Brgy. 7, Sucsuquen",19,0,0,51,"Brgy Hall Brgy. 13 Libnaoan and outside Evacuation Center Brgy. 7, Sucsuquen"
"ILOCOS NORTE",Pinili,"Brgy. Bungro, Brgy. Darat, Brgy. Nagtrigoan",11,0,0,31,"Transferred to relatives, Brgy. Darat Covered Court, Brgy. Nagtrigoan Covered Court and Pentecost Church"
"ILOCOS NORTE","San Nicolas","Brgy 6. San Juan Bautista, Brgy. 4, Brgy. 16, Brgy. 19",21,0,0,52,"Barangay 6 Brgy Hall Evacuation Center, Brgy. 4 San Bartolome Evacuation Center, Brgy. 16 San Marcos Evacuation Center"
"ILOCOS NORTE",Sarrat,"Brgy. San Joaquin, Brgy. 3 Sta. Barbara, Brgy 22 San Cristobal, Brgy 4 San Francisco",8,0,0,23,"Municipal Evacuation Center, Brgy 6, BDRRMC Evacuation Center<br>"
"ILOCOS NORTE",Solsona,"Bagbago, Maananteng, Santiago",19,0,0,47,"Brgy Maananteng Brgy Hall, Santiago and RHU"
"ILOCOS NORTE",Vintar,"Brgy. 5 San Ramon",11,0,0,41,"Municipal Evacuation Center"
"ILOCOS SUR",Burgos,Bessang,21,0,0,41,"Brgy. Bessang Evacuation Center"
