PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,TYPE,CLASSIFICATION,"ROAD SECTION/BRIDGE",STATUS,"DATE REPORTED (not passable) [m/d/Y]","TIME REPORTED (not passable) [24:00]","DATE REPORTED (passable) [m/d/Y]","TIME REPORTED (passable) [24:00]",REMARKS
"ILOCOS NORTE",Adams,"Poblacion 3",Road,City/Municipality,,"NPATV - NOT PASSABLE ALL TYPES VEHICLES",2025-11-09,,,,
"ILOCOS NORTE",Dumalneg,"San Isidro",Road,Provincial,"San Iisdro Darna Road and Darna Bridge Approach Left and Right Bank","PTLV - PASSABLE TO LIGHT VEHICLES",2025-11-09,07:00,2025-11-10,,"Date reported as passable will be reflected once validated by the PDRRMO"
"ILOCOS NORTE",Dumalneg,Quibel,Road,Provincial,"Sisilongen-Basset Road","PTLV - PASSABLE TO LIGHT VEHICLES",2025-11-09,07:00,2025-11-10,,"Date reported as passable will be reflected once validated by the PDRRMO"
"ILOCOS SUR",Salcedo (Baugen),Balidbid,Road,"National (secondary)","Balidbid Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,04:10,2025-11-10,06:30,"Due to a fallen tree caused by strong winds."
"ILOCOS SUR",Salcedo (Baugen),"San Gaspar",Road,"National (secondary)","San Gaspar Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,04:12,2025-11-10,07:13,"Due to a fallen tree caused by strong winds."
"ILOCOS SUR","Santa Cruz","Poblacion Este",Road,Barangay,"Poblacion Este Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:00,2025-11-10,07:00,"Due to a fallen Mango and Kaimito Tree caused by strong winds."
"ILOCOS SUR","Santa Cruz","Poblacion Sur",Road,Barangay,"Poblacion Sur Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:00,2025-11-10,07:00,"Due to a fallen Mango Tree caused by strong winds."
"ILOCOS SUR","Santa Cruz","Poblacion Norte",Road,Barangay,"Poblacion Norte Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:00,2025-11-10,09:30,"Due to a fallen Tamarind Tree caused by strong winds."
"ILOCOS SUR","Santa Cruz",Dili,Road,"National (secondary)","Dili National Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:00,2025-11-10,09:00,"Due to a fallen Mango Tree caused by strong winds."
"ILOCOS SUR","Santa Cruz",Saoat,Road,"National (secondary)","Saoat National Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:00,2025-11-10,09:00,"Due to a fallen Mango Tree caused by strong winds."
